ticket_id,customer_id,date,subject,description,category,sentiment,resolution_status
T0001,C001,2026-07-09,Heads up: internal restructuring,"Wanted to flag that we're going through a reorg this quarter, so usage from our side may look different for a while.",account_context,positive,resolved
T0002,C004,2026-07-14,Custom field values not saving,Values we enter into custom fields revert back after a page refresh.,feature,neutral,resolved
T0003,C006,2026-07-16,Dashboard taking 20-30 seconds to load,"Load times have gotten noticeably worse over the past couple of weeks, especially first thing in the morning.",performance,negative,unresolved
T0004,C011,2026-06-15,Heads up: internal restructuring,"Wanted to flag that we're going through a reorg this quarter, so usage from our side may look different for a while.",account_context,positive,resolved
T0005,C012,2026-06-15,Approval step skipped entirely,One of our required approval steps is being skipped for certain record types.,workflow,neutral,resolved
T0006,C013,2026-05-28,Approval step skipped entirely,One of our required approval steps is being skipped for certain record types.,workflow,negative,unresolved
T0007,C013,2026-04-25,Reports timing out on large datasets,Any report over a few thousand rows just spins and eventually times out.,performance,negative,unresolved
T0008,C013,2026-04-11,Team members locked out after password reset,Two of our admins reset their passwords and are now stuck in a loop unable to log back in.,access,negative,unresolved
T0009,C014,2026-03-12,Failed payment retry not going through,We tried updating our card after a failed charge but the retry keeps failing too.,billing,negative,unresolved
T0010,C016,2026-02-10,Team members locked out after password reset,Two of our admins reset their passwords and are now stuck in a loop unable to log back in.,access,negative,escalated
T0011,C016,2026-02-15,Dashboard taking 20-30 seconds to load,"Load times have gotten noticeably worse over the past couple of weeks, especially first thing in the morning.",performance,negative,escalated
T0012,C016,2026-01-25,Approval step skipped entirely,One of our required approval steps is being skipped for certain record types.,workflow,negative,escalated
T0013,C016,2026-01-13,Notification rules not triggering,We've set up alerts for a couple of conditions but they never seem to fire even when the conditions are met.,feature,negative,escalated
T0014,C017,2026-07-14,Team members locked out after password reset,Two of our admins reset their passwords and are now stuck in a loop unable to log back in.,access,negative,resolved
T0015,C018,2026-08-10,Scheduled export stopped arriving,Our weekly scheduled export just stopped showing up in the destination folder a few weeks ago.,export,positive,resolved
T0016,C020,2026-04-07,Bulk update tool skipping records,Running a bulk update against a list of records only updates a fraction of them with no error shown.,feature,negative,escalated
T0017,C020,2026-05-01,Unable to invite a new team member,The invite link we sent to a new hire is coming back as expired immediately.,access,negative,escalated
T0018,C020,2026-04-07,Approval step skipped entirely,One of our required approval steps is being skipped for certain record types.,workflow,negative,unresolved
T0019,C021,2026-04-18,Workflow steps executing out of order,"Steps in our multi-stage workflow are firing out of sequence, causing downstream errors.",workflow,negative,unresolved
T0020,C021,2026-05-18,App becomes unresponsive during peak hours,Between 9 and 11am our team regularly sees the app freeze or lag badly.,performance,negative,unresolved
T0021,C021,2026-05-13,Team members locked out after password reset,Two of our admins reset their passwords and are now stuck in a loop unable to log back in.,access,negative,unresolved
T0022,C026,2026-07-14,Workflow steps executing out of order,"Steps in our multi-stage workflow are firing out of sequence, causing downstream errors.",workflow,neutral,resolved
T0023,C027,2026-08-22,"CSV export truncated at 10,000 rows",Any export over 10k rows gets cut off partway through with no error message shown.,export,neutral,resolved
T0024,C028,2026-07-13,Team members locked out after password reset,Two of our admins reset their passwords and are now stuck in a loop unable to log back in.,access,negative,resolved
T0025,C029,2026-06-02,"CSV export truncated at 10,000 rows",Any export over 10k rows gets cut off partway through with no error message shown.,export,neutral,resolved
T0026,C030,2026-05-25,"CSV export truncated at 10,000 rows",Any export over 10k rows gets cut off partway through with no error message shown.,export,neutral,resolved
T0027,C032,2026-07-15,"CSV export truncated at 10,000 rows",Any export over 10k rows gets cut off partway through with no error message shown.,export,neutral,resolved
T0028,C033,2026-04-18,Workflow steps executing out of order,"Steps in our multi-stage workflow are firing out of sequence, causing downstream errors.",workflow,positive,resolved
T0029,C035,2026-04-28,Workflow steps executing out of order,"Steps in our multi-stage workflow are firing out of sequence, causing downstream errors.",workflow,neutral,resolved
T0030,C036,2026-07-15,Saved filters disappearing,Filters we save on the dashboard are gone the next time we log in.,feature,neutral,resolved
T0031,C038,2026-07-29,Custom field values not saving,Values we enter into custom fields revert back after a page refresh.,feature,neutral,resolved
T0032,C039,2026-05-07,Scheduled export stopped arriving,Our weekly scheduled export just stopped showing up in the destination folder a few weeks ago.,export,positive,resolved
T0033,C041,2026-07-26,Workflow steps executing out of order,"Steps in our multi-stage workflow are firing out of sequence, causing downstream errors.",workflow,negative,unresolved
T0034,C041,2026-07-23,Notification rules not triggering,We've set up alerts for a couple of conditions but they never seem to fire even when the conditions are met.,feature,negative,escalated
T0035,C041,2026-07-05,Team members locked out after password reset,Two of our admins reset their passwords and are now stuck in a loop unable to log back in.,access,negative,escalated
T0036,C044,2026-08-26,Dashboard taking 20-30 seconds to load,"Load times have gotten noticeably worse over the past couple of weeks, especially first thing in the morning.",performance,negative,unresolved
T0037,C045,2026-06-07,Bulk update tool skipping records,Running a bulk update against a list of records only updates a fraction of them with no error shown.,feature,neutral,resolved
T0038,C046,2026-08-22,Approval step skipped entirely,One of our required approval steps is being skipped for certain record types.,workflow,positive,resolved
T0039,C048,2026-03-24,Reports timing out on large datasets,Any report over a few thousand rows just spins and eventually times out.,performance,negative,escalated
T0040,C048,2026-03-12,Approval step skipped entirely,One of our required approval steps is being skipped for certain record types.,workflow,negative,unresolved
T0041,C048,2026-03-05,Saved filters disappearing,Filters we save on the dashboard are gone the next time we log in.,feature,negative,escalated
T0042,C028,2026-06-03,Bulk imports timing out since June,Imports that used to finish in a couple of minutes now time out around the halfway mark. We have gone back to entering records by hand.,performance,negative,unresolved
T0043,C028,2026-08-28,Export always includes the full list,"There is no way to export just the filtered view, so we strip out the rows we do not need by hand every time we send a report on.",export,negative,unresolved
